"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20190122.csv"
"C","Report for: 01/22/2019 - 01/22/2019"
"C","Report generated: 03/30/2020 17:51:59 EDT"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","01/22/2019",01,"599","UN.VERNON  69  VERN","NETWORK NODE",130.46,128.78,0.27,1.41
"D","01/22/2019",01,"612","UN.WATER_RV23  W_J1","NETWORK NODE",129.23,128.78,0.27,0.18
"D","01/22/2019",01,"613","UN.WATER_RV115 W_J2","NETWORK NODE",129.23,128.78,0.27,0.18
"D","01/22/2019",01,"614","UN.MIDDLESX34.5WATR","NETWORK NODE",126.74,128.78,0.27,-2.31
"D","01/22/2019",01,"616","UN.CHSTERME46  WENF","NETWORK NODE",-13.5,128.78,-135.69,-6.59
"D","01/22/2019",01,"617","UN.LAKEWOOD34.5WEST","NETWORK NODE",121.12,128.78,0.27,-7.93
"D","01/22/2019",01,"618","UN.WHITEFLD34.5WFPL","NETWORK NODE",118.35,128.78,0.27,-10.7
"D","01/22/2019",01,"619","UN.WHITE_LK34.5WHLA","NETWORK NODE",127.21,128.78,0.27,-1.84
"D","01/22/2019",01,"620","UN.WILDER  13.8WILD","NETWORK NODE",130.56,128.78,0.27,1.51
"D","01/22/2019",01,"621","UN.WILLIAM 6.9 WILL","NETWORK NODE",118.59,128.78,0.27,-10.46
"D","01/22/2019",01,"622","UN.EAST_AVE13.8WINO","NETWORK NODE",127.04,128.78,0.27,-2.01
"D","01/22/2019",01,"624","UN.MILLBURY13.8WMIM","NETWORK NODE",130.85,128.78,0.27,1.8
"D","01/22/2019",01,"625","UN.W_MEDWAY13.8WMJ1","NETWORK NODE",128.92,128.78,0.27,-0.13
"D","01/22/2019",01,"626","UN.W_MEDWAY13.8WMJ2","NETWORK NODE",128.92,128.78,0.27,-0.13
"D","01/22/2019",01,"627","UN.MEDWAYJ313.8WMJ3","NETWORK NODE",130.49,128.78,0.27,1.44
"D","01/22/2019",01,"628","UN.WOODLAND23  WOOD","NETWORK NODE",129.93,128.78,0.27,0.88
"D","01/22/2019",01,"630","UN.W_SPRFLD13.8WS10","NETWORK NODE",130.66,128.78,0.27,1.61
"D","01/22/2019",01,"633","UN.W_SPRFLD13.8WSP3","NETWORK NODE",130.66,128.78,0.27,1.61
"D","01/22/2019",01,"636","UN.WYMAN_HY13.8WYM1","NETWORK NODE",117.67,128.78,0.27,-11.38
